text,category
"May tambak na basura sa kanto ng Mabini Ave., Brgy. Pag-asa. Hindi pa kinukuha since Monday. May daga na. Need help ASAP.",Garbage
Patay ang ilaw sa poste malapit sa park Brgy. New Era since this morning.,Streetlight
"May tambak na basura sa kanto ng Quezon Blvd., Brgy. New Era. Hindi pa kinukuha since Monday. May daga na.",Garbage
Earthquake aftershocks reported; cracks seen at riverbank Brgy. Pag-asa; request inspection.,Disaster
Faded pedestrian crossing near chapel Brgy Sta Cruz; drivers don't slow down,Traffic
Minor landslide/soil erosion near Brgy. Sta. Cruz roadside on National Hwy tuwing malakas ang ulan.,Disaster
Dead animal (dog/cat) on Mabini Ave. Brgy. Malinis; needs proper disposal to avoid disease.,Animal Control
Bar music too loud near bridge Brgy. Sta. Cruz; windows shaking.,Noise
Water leak from main pipe near public market Brgy. Riverside; water wasted and road flooded. 🙏,Water Supply
"Standing water in front of park, Brgy. Sta. Cruz today; possible mosquito breeding.",Flooding
Strong winds damaged roofs in Brgy. Malinis this morning; families need temporary shelter.,Disaster
Intermittent internet: disconnects every few minutes in Brgy. Riverside especially at 8:10 AM.,Internet
May naghihinalang tao paikot-ikot near bridge Brgy. Bagong Silang since Monday; residents feel unsafe.,Crime
Broken lamp cover at Brgy. Riverside near health center; bulb exposed and could shatter. Need help ASAP.,Streetlight
"Electrical sparks seen then small fire on pole near barangay hall, Brgy. Poblacion during drizzle.",Fire
Uncollected garbage after market day near terminal in Brgy. New Era; plastic scattered on the road.,Garbage
"Power pole leaning dangerously on National Hwy, Brgy. Bayanihan; might fall nung bagyo.",Electricity
May asong gala na nangagat sa Liberty St Brgy Poblacion since Monday; needs barangay action,Animal Control
Baha sa tapat ng elementary school Brgy Sta Cruz at 11:55 PM; vehicles cannot pass safely,Flooding
"Snatching incident reported on Rizal St., Brgy. Bayanihan at 6:15 AM; CCTV in area should be checked. Need help ASAP.",Crime
Internet connection down in Brgy. Poblacion since this morning; students can't attend online class.,Internet
Open manhole on National Hwy Brgy. Bagong Silang near riverbank; very dangerous at night.,Public Safety
Uncovered well/pit near Brgy. Poblacion houses; children at risk.,Public Safety
Uncollected garbage after market day near riverbank in Brgy. Bayanihan; plastic scattered on the road.,Garbage
Fallen tree blocking JP Laurel St. in Brgy. Sta. Cruz tuwing malakas ang ulan; needs clearing team.,Disaster
"Low water pressure on National Hwy, Brgy. Pag-asa last night; tap only drips.",Water Supply
"Motorcycle with modified muffler keeps revving on Bonifacio Rd, Brgy Bagong Silang every night",Noise
Frequent voltage fluctuation/brownout in Brgy. New Era since yesterday; lights flicker.,Electricity
"Large pothole on Sampaguita St., Brgy. New Era; a motorcycle almost crashed last night. Needs patching.",Road Damage
"Power pole leaning dangerously on Sampaguita St., Brgy. New Era; might fall tuwing malakas ang ulan. Sana ma-actionan agad.",Electricity
"Motorcycle with modified muffler keeps revving on JP Laurel St., Brgy. New Era every night.",Noise
Water leak from main pipe near park Brgy. Sta. Cruz; water wasted and road flooded.,Water Supply
Bar music too loud near elementary school Brgy. Bagong Silang; windows shaking.,Noise
"Manhole cover missing on JP Laurel St., Brgy. San Isidro; water cannot drain properly tuwing malakas ang ulan. Sana ma-actionan agad.",Flooding
Flickering streetlight at Sampaguita St. Brgy. New Era; safety concern for vendors. Pls respond asap.,Streetlight
Drunk individuals harassing commuters near park Brgy. Bagong Silang at 4:25 PM.,Crime
Heavy traffic due to double parking near plaza in Brgy. San Isidro at 4:25 PM. Need help ASAP.,Traffic
Power outage in Brgy. Riverside since 8:10 AM; households cannot use appliances. Sana ma-actionan agad.,Electricity
"Construction drilling starts at 4:25 PM in Brgy. Sta. Cruz, Rizal St.; violates quiet hours. Need help ASAP.",Noise
Baha sa tapat ng park Brgy. Bagong Silang at 5:30 AM; vehicles cannot pass safely.,Flooding
Very slow mobile data signal near evacuation center Brgy. Sta. Cruz; calls dropping frequently. Sana ma-actionan agad.,Internet
Loose hanging cables across JP Laurel St. Brgy. Malinis; could snag vehicles.,Public Safety
Stray animals roaming near terminal in Brgy. New Era; risk of bites and rabies.,Health
Baha sa tapat ng barangay hall Brgy. Poblacion at 4:25 PM; vehicles cannot pass safely.,Flooding
Exposed electrical wire hanging near barangay hall in Brgy. New Era; could electrocute someone.,Electricity
Intermittent internet: disconnects every few minutes in Brgy. Sta. Cruz especially at 8:10 AM.,Internet
Drunk individuals harassing commuters near terminal Brgy. Riverside at 7:00 PM. Need help ASAP. 😷,Crime
Exposed electrical wire hanging near terminal in Brgy. San Isidro; could electrocute someone. 🙏,Electricity
Road shoulder collapsed near Brgy. Mabini along Maharlika Rd. during drizzle; risk of accident.,Road Damage
Open trench left by roadworks near covered court in Brgy. Mabini; no warning signs.,Road Damage
No water supply in Brgy. Riverside since 9:30 PM; residents cannot store water.,Water Supply
Uncollected garbage after market day near elementary school in Brgy. Poblacion; plastic scattered on the road.,Garbage
Stray animals roaming near plaza in Brgy. Malinis; risk of bites and rabies.,Health
"May nagsusunog ng basura near barangay hall, Brgy. Pag-asa around 7:00 PM; usok pumapasok sa bahay.",Garbage
No water supply in Brgy. Riverside since 9:30 PM; residents cannot store water.,Water Supply
Pack of stray dogs near covered court in Brgy. Sta. Cruz 9:30 PM; chased children.,Animal Control
"May tambak na basura sa kanto ng Del Pilar St., Brgy. San Isidro. Hindi pa kinukuha yesterday. May daga na. 🚨",Garbage
May nag-iinuman at sobrang ingay sa Sampaguita St. Brgy. Riverside hanggang 5:30 AM. 🔥,Noise
"Manhole cover missing on Liberty St., Brgy. San Isidro; water cannot drain properly after heavy rain.",Flooding
Kitchen fire at a stall near chapel Brgy. Malinis; needs inspection of LPG safety.,Fire
Water leak from main pipe near chapel Brgy. San Isidro; water wasted and road flooded.,Water Supply
Broken footbridge/handrail near plaza Brgy. Riverside; risk of falling.,Public Safety
Strong winds damaged roofs in Brgy. Bagong Silang for 1 week; families need temporary shelter.,Disaster
Uncollected garbage after market day near chapel in Brgy Bagong Silang; plastic scattered on the road,Garbage
Road shoulder collapsed near Brgy. Sta. Cruz along Del Pilar St. nung bagyo; risk of accident.,Road Damage
Uncollected garbage after market day near terminal in Brgy. Malinis; plastic scattered on the road.,Garbage
"Low water pressure on National Hwy, Brgy. Poblacion for 1 week; tap only drips. Sana ma-actionan agad.",Water Supply
"Standing water in front of barangay hall, Brgy. Bayanihan yesterday; possible mosquito breeding.",Flooding
Stray animals roaming near chapel in Brgy. San Isidro; risk of bites and rabies.,Health
May asong gala na nangagat sa Maharlika Rd. Brgy. Sta. Cruz today; needs barangay action.,Animal Control
Uncollected garbage after market day near elementary school in Brgy. Poblacion; plastic scattered on the road.,Garbage
Minor landslide/soil erosion near Brgy. Pag-asa roadside on Del Pilar St. after heavy rain. Sana ma-actionan agad.,Disaster
"Possible dengue risk: standing water and many mosquitoes near riverbank, Brgy. Bagong Silang 3 days ago.",Health
"Motorcycle with modified muffler keeps revving on National Hwy, Brgy. Bagong Silang every night.",Noise
Tap water is brown/muddy in Brgy New Era since yesterday; possible pipe contamination,Water Supply
Someone is dumping wastewater/sewage on Del Pilar St. Brgy. Pag-asa; foul smell and slippery road. thank you.,Health
Motorcycle theft attempt near park in Brgy Malinis last night; please increase patrol thank you,Crime
Water interruption happens every morning in Brgy. Sta. Cruz; need schedule/notice.,Water Supply
Reported suspected food poisoning after eating at park Brgy. Bayanihan today; several vendors got sick.,Health
"Standing water in front of elementary school, Brgy. Mabini today; possible mosquito breeding. Pls respond asap.",Flooding
"Tricycles loading/unloading in the middle of JP Laurel St., Brgy. New Era; causes congestion.",Traffic
Fallen tree blocking Mabini Ave. in Brgy. Riverside tuwing malakas ang ulan; needs clearing team.,Disaster
No water supply in Brgy. Riverside since 7:00 PM; residents cannot store water.,Water Supply
Loose hanging cables across Maharlika Rd. Brgy. Riverside; could snag vehicles. Need help ASAP.,Public Safety
Baha sa tapat ng public market Brgy. Mabini at 9:30 PM; vehicles cannot pass safely.,Flooding
"Low water pressure on JP Laurel St., Brgy. Bagong Silang last night; tap only drips.",Water Supply
May bitak at lubak sa kalsada sa Del Pilar St. Brgy. San Isidro; delikado lalo na pag gabi.,Road Damage
Food stalls near evacuation center Brgy Malinis have uncovered food and flies; sanitation issue,Health
Road shoulder collapsed near Brgy. New Era along Quezon Blvd. after heavy rain; risk of accident.,Road Damage
"Manhole cover missing on Quezon Blvd., Brgy. Bayanihan; water cannot drain properly nung bagyo.",Flooding
Grass fire reported near evacuation center in Brgy. Poblacion last night; smoke reducing visibility on Liberty St..,Fire
"Knee-deep floodwater kahapon pagkatapos ng ulan along Rizal St, Brgy Mabini Drainage clogged with leaves and plastic",Flooding
Food stalls near bridge Brgy. Bayanihan have uncovered food and flies; sanitation issue.,Health
Loose hanging cables across Quezon Blvd. Brgy. San Isidro; could snag vehicles. Need help ASAP.,Public Safety
Dead animal (dog/cat) on Del Pilar St. Brgy. Malinis; needs proper disposal to avoid disease.,Animal Control
Open trench left by roadworks near elementary school in Brgy Bayanihan; no warning signs,Road Damage
Baha sa tapat ng health center Brgy. New Era at 6:15 AM; vehicles cannot pass safely.,Flooding
Forest/brush fire near Brgy. Pag-asa boundary; flames visible from Sampaguita St. at 11:55 PM.,Fire
Road shoulder collapsed near Brgy. New Era along Rizal St. after heavy rain; risk of accident.,Road Damage
May asong gala na nangagat sa Rizal St. Brgy. Mabini last night; needs barangay action. 😟,Animal Control
"Broken sidewalk tiles near evacuation center, Brgy. New Era; pedestrians keep tripping. Pls respond asap.",Road Damage
"Snatching incident reported on Sampaguita St., Brgy. Mabini at 4:25 PM; CCTV in area should be checked. 🚨",Crime
Blocked fire exit/escape route near covered court Brgy. Sta. Cruz; please enforce safety.,Public Safety
"Snatching incident reported on Liberty St., Brgy. Bayanihan at 8:10 AM; CCTV in area should be checked.",Crime
"Electrical sparks seen then small fire on pole near barangay hall, Brgy. Mabini tuwing malakas ang ulan.",Fire
Tap water is brown/muddy in Brgy. Malinis today; possible pipe contamination.,Water Supply
"Overflowing trash bins near the bridge in Brgy. Mabini, National Hwy. Foul smell since yesterday; senior citizens complaining.",Garbage
"Motorcycle with modified muffler keeps revving on Del Pilar St., Brgy. Bagong Silang every night.",Noise
Someone is dumping wastewater/sewage on Quezon Blvd. Brgy. Malinis; foul smell and slippery road.,Health
"Snatching incident reported on National Hwy, Brgy. Bayanihan at 12:40 PM; CCTV in area should be checked.",Crime
"Broken sidewalk tiles near chapel, Brgy. Mabini; pedestrians keep tripping.",Road Damage
Grass fire reported near barangay hall in Brgy. San Isidro yesterday; smoke reducing visibility on Sampaguita St..,Fire
Stray cats and dogs tearing garbage near elementary school Brgy. New Era; causes mess and smell.,Animal Control
"May nagsusunog ng basura near bridge, Brgy. Sta. Cruz around 4:25 PM; usok pumapasok sa bahay. Sana ma-actionan agad.",Garbage
"Construction drilling starts at 6:15 AM in Brgy. Riverside, Mabini Ave.; violates quiet hours.",Noise
Broken lamp cover at Brgy. Mabini near plaza; bulb exposed and could shatter. Need help ASAP.,Streetlight
Strong winds damaged roofs in Brgy. Poblacion since yesterday; families need temporary shelter.,Disaster
Frequent voltage fluctuation/brownout in Brgy. Bayanihan 3 days ago; lights flicker.,Electricity
Strong winds damaged roofs in Brgy. Sta. Cruz today; families need temporary shelter.,Disaster
Earthquake aftershocks reported; cracks seen at barangay hall Brgy. Malinis; request inspection.,Disaster
Broken lamp cover at Brgy. Riverside near evacuation center; bulb exposed and could shatter.,Streetlight
Very slow mobile data signal near terminal Brgy. Riverside; calls dropping frequently. thank you.,Internet
No traffic enforcer at intersection of Sampaguita St. in Brgy. Pag-asa; near-misses happening. Sana ma-actionan agad.,Traffic
Bar music too loud near chapel Brgy. Bagong Silang; windows shaking.,Noise
Baha sa tapat ng health center Brgy. Riverside at 7:00 PM; vehicles cannot pass safely.,Flooding
Forest/brush fire near Brgy. Bayanihan boundary; flames visible from National Hwy at 6:15 AM.,Fire
Grass fire reported near bridge in Brgy Mabini today; smoke reducing visibility on Maharlika Rd,Fire
Uncovered well/pit near Brgy. Sta. Cruz houses; children at risk.,Public Safety
May nasusunog na basura/kanal near Maharlika Rd. Brgy. Poblacion around 5:30 AM; strong odor and smoke.,Fire
Baradong kanal sa JP Laurel St. Brgy. Riverside; umaapaw tuwing malakas ang ulan and water enters houses. Sana ma-actionan agad.,Flooding
Tap water is brown/muddy in Brgy. New Era for 1 week; possible pipe contamination.,Water Supply
Loose hanging cables across Rizal St. Brgy. Pag-asa; could snag vehicles. Pls respond asap.,Public Safety
Frequent voltage fluctuation/brownout in Brgy. Bayanihan today; lights flicker.,Electricity
No water supply in Brgy. New Era since 5:30 AM; residents cannot store water.,Water Supply
Stray cats and dogs tearing garbage near riverbank Brgy. Pag-asa; causes mess and smell.,Animal Control
Frequent voltage fluctuation/brownout in Brgy. Poblacion 3 days ago; lights flicker.,Electricity
Kitchen fire at a stall near elementary school Brgy. Poblacion; needs inspection of LPG safety.,Fire
Illegal dumping of mixed waste and construction debris beside the park at Brgy. Mabini.,Garbage
Fiber line hanging low across Bonifacio Rd Brgy Mabini; trucks might hit it Sana ma-actionan agad,Internet
"Broken sidewalk tiles near elementary school, Brgy. Pag-asa; pedestrians keep tripping. Sana ma-actionan agad.",Road Damage
Heavy traffic due to double parking near riverbank in Brgy. Sta. Cruz at 8:10 AM.,Traffic
May asong gala na nangagat sa Bonifacio Rd. Brgy. Sta. Cruz since Monday; needs barangay action. thank you.,Animal Control
Tap water is brown/muddy in Brgy Bagong Silang 3 days ago; possible pipe contamination thank you,Water Supply
Loose hanging cables across Del Pilar St. Brgy. Riverside; could snag vehicles.,Public Safety
"Possible dengue risk: standing water and many mosquitoes near barangay hall, Brgy. Pag-asa today. Sana ma-actionan agad.",Health
Water interruption happens every morning in Brgy Malinis; need schedule/notice,Water Supply
Patay ang ilaw sa poste malapit sa public market Brgy. Mabini since this morning. Sana ma-actionan agad.,Streetlight
Faded pedestrian crossing near terminal Brgy. New Era; drivers don't slow down.,Traffic
Transformer humming loudly and smells burnt near JP Laurel St. Brgy. Riverside; possible overload.,Electricity
Heavy traffic due to double parking near public market in Brgy Bayanihan at 4:25 PM,Traffic
Community WiFi at plaza Brgy. Poblacion not working this morning; router keeps rebooting.,Internet
May nag-iinuman at sobrang ingay sa Quezon Blvd. Brgy. Pag-asa hanggang 8:10 AM.,Noise
"Standing water in front of public market, Brgy. San Isidro since Monday; possible mosquito breeding.",Flooding
Pack of stray dogs near bridge in Brgy. Pag-asa 11:55 PM; chased children.,Animal Control
Loose hanging cables across Bonifacio Rd Brgy New Era; could snag vehicles,Public Safety
Exposed electrical wire hanging near health center in Brgy. Mabini; could electrocute someone. Pls respond asap.,Electricity
Patay ang ilaw sa poste malapit sa riverbank Brgy. Bagong Silang since since yesterday. Pls respond asap.,Streetlight
"Motorcycle with modified muffler keeps revving on Maharlika Rd., Brgy. San Isidro every night.",Noise
Road shoulder collapsed near Brgy. Poblacion along Mabini Ave. tuwing malakas ang ulan; risk of accident. 😟,Road Damage
Faded pedestrian crossing near plaza Brgy. Bayanihan; drivers don't slow down. thank you.,Traffic
Someone is dumping wastewater/sewage on Quezon Blvd. Brgy. Mabini; foul smell and slippery road.,Health
Baradong kanal sa Del Pilar St. Brgy. Pag-asa; umaapaw after the thunderstorm and water enters houses.,Flooding
"Construction drilling starts at 6:15 AM in Brgy. Bagong Silang, JP Laurel St.; violates quiet hours.",Noise
